title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
5th generation district heating and cooling systems as a solution for renewable urban thermal energy supply,84,2019,"… Analogue to electricity micro grids, bi-directional decentralized district heating and cooling grids … systems have been integrated in energy hubs before, these models worked with a linear …",https://adgeo.copernicus.org/articles/49/129/2019/,,0,"bi-directional, model, district energy"
An automated approach to building and simulating dynamic district heating networks,15,2018,"… Models need to be designed to handle bi-directional flows, … In this paper we have presented a district heating modeling … building and simulating district heating networks using industrial …",https://www.sciencedirect.com/science/article/pii/S2405896318301496,,0,"bi-directional, model, district energy"
An evaluation of distributed solar thermal “net metering” in small-scale district heating systems,29,2015,"… by a single bi-directional heat … models, utilities substations and a wheather generator in order to analyze various scenarios and different control strategies for small-scale district heating…",https://www.sciencedirect.com/science/article/pii/S1876610215020676,,0,"bi-directional, model, district energy"
Feasibility study on the low temperature district heating and cooling system with bi-lateral heat trades model,28,2018,"… In that sense, it might not be adequate to believe that it can also reflect new features or characteristics of bi-directional heat trades model successfully. For example, the injection of a hot …",https://www.sciencedirect.com/science/article/pii/S0360544218307072,,0,"bi-directional, model, district energy"
Load management in district heating operation,43,2015,… model to regulate the heating supply to a cluster of buildings. The aim is to level out the total heating … The paper presents an approach to control DH load through a bi-directional data …,https://www.sciencedirect.com/science/article/pii/S1876610215009236,,0,"bi-directional, model, district energy"
A study of district heating systems with solar thermal based prosumers,22,2018,… simulation model is built to assess the performance of different scenarios of district heating … How to effectively control and operate such a substation with bi-directional pumping is still …,https://www.sciencedirect.com/science/article/pii/S1876610218304739,,0,"bi-directional, model, district energy"
A bi-directional systematic design approach to energy optimization for energy-efficient buildings,24,2016,"… models, the correlation between building cooling-to-heating … of primary energy, while the turbo chiller and district heating (C/… to hot water driven absorption and district heating (C/P 06-H/…",https://www.sciencedirect.com/science/article/pii/S0378778816302225,,0,"bi-directional, model, district energy"
Smart grid block-chain (BC) conceptual framework: Bi-directional models for renewable energy district and utility,8,2019,"… Considering the above, we present a BC v 3.0 based energy market model for SG that … models based on BC v 3.0 framework, (b) various applications of existing BC-based energy …",https://ieeexplore.ieee.org/abstract/document/8994500/,,0,"bi-directional, model, district energy"
Optimisation of a district energy system with a low temperature network,55,2017,"… New elements in this implementation of the multi-energy optimisation model are: monitoring data used as an input to the model, buildings with bi-directional energy exchange, a …",https://www.sciencedirect.com/science/article/pii/S0360544217305303,,0,"bi-directional, model, district energy"
… wind energy management model within smart grid framework: A joint bi-directional service level agreement (SLA) between smart grid and wind energy district …,31,2019,… and generation capacity of prosumers within Energy District (ED) is highly complex … Energy Management Model (SWEMM) with bi-directional energy flows between SG and Wind Energy …,https://www.sciencedirect.com/science/article/pii/S0960148118314046,,0,"bi-directional, model, district energy"
Quayside energy system analysis,7,2019,"… architectures, this study built simulation models of different architectures to analyze … district heating and cooling distribution networks. It presents bi-directional district heating and cooling …",https://escholarship.org/content/qt957066mw/qt957066mw.pdf,http://scholar.google.com/https://escholarship.org/content/qt957066mw/qt957066mw.pdf,0,"bi-directional, model, district energy"
5th generation district heating and cooling systems: A review of existing cases in Europe,409,2019,"… mode independently of network temperature, bi-directional and decentralised energy flows … They have developed a numerical model for a two-pipe network with bi-directional mass flow …",https://www.sciencedirect.com/science/article/pii/S1364032118308608,,0,"bi-directional, model, district energy"
