title,num_citations,year,excerpt,url,url_pdf,indicator,key_words,doi,authors,issued,abstract,link,is_referenced_by_count
A review of data centers as prosumers in district energy systems: Renewable energy integration and waste heat reuse for district heating,412,2020,"… As large energy prosumers in district energy systems, on the … cooling systems work properly; on the other hand, data centers produce a large quantity of waste heat due to the high heat …",https://www.sciencedirect.com/science/article/pii/S0306261919317969,,0,"4th generation, district heating and cooling",10.1016/j.apenergy.2019.114109,Pei Huang; Benedetta Copertaro; Xingxing Zhang; Jingchun Shen; Isabelle Löfgren; Mats Rönnelid; Jan Fahlen; Dan Andersson; Mikael Svanfeldt,2020-1,,https://api.elsevier.com/content/article/PII:S0306261919317969?httpAccept=text/xml,288.0
Perspectives on fourth and fifth generation district heating,308,2021,… Fourth-generation district heating (4GDH) has been used as … path for decarbonization of the district heating sector and was … called fifth generation district heating and cooling (5GDHC). …,https://www.sciencedirect.com/science/article/pii/S0360544221007696,,0,"4th generation, district heating and cooling",10.1016/j.energy.2021.120520,Henrik Lund; Poul Alberg Østergaard; Tore Bach Nielsen; Sven Werner; Jan Eric Thorsen; Oddgeir Gudmundsson; Ahmad Arabkoohsar; Brian Vad Mathiesen,2021-7,,https://api.elsevier.com/content/article/PII:S0360544221007696?httpAccept=text/xml,276.0
5th Generation District Heating: A novel design approach based on mathematical optimization,237,2020,"… The optimization superstructure of building energy systems comprises heat pumps, compression chillers, heat exchangers for direct cooling, cooling towers and thermal energy storages…",https://www.sciencedirect.com/science/article/pii/S0306261919318458,,0,"5th generation, district heating and cooling",10.1016/j.apenergy.2019.114158,Marco Wirtz; Lukas Kivilip; Peter Remmen; Dirk Müller,2020-2,,https://api.elsevier.com/content/article/PII:S0306261919318458?httpAccept=text/xml,164.0
Positive energy districts: Mainstreaming energy transition in urban areas,194,2022,"… Energy Districts (PEDs) has emerged to facilitate the energy transition and contribute to climate neutrality through energy efficiency and net zero energy … , or district can meet its energy …",https://www.sciencedirect.com/science/article/pii/S1364032121010510,,0,"4th generation, district energy",10.1016/j.rser.2021.111782,Erkinai Derkenbaeva; Solmaria Halleck Vega; Gert Jan Hofstede; Eveline van Leeuwen,2022-1,,https://api.elsevier.com/content/article/PII:S1364032121010510?httpAccept=text/xml,132.0
Developing novel 5th generation district energy networks,186,2020,"… energy costs to consumers while at the same time transforming a large existing urban area to a near zero-carbon energy system in terms of heating, cooling, electricity and transport. …",https://www.sciencedirect.com/science/article/pii/S0360544220304965,,0,"4th generation, district heating and cooling",10.1016/j.energy.2020.117389,Akos Revesz; Phil Jones; Chris Dunham; Gareth Davies; Catarina Marques; Rodrigo Matabuena; Jim Scott; Graeme Maidment,2020-6,,https://api.elsevier.com/content/article/PII:S0360544220304965?httpAccept=text/xml,116.0
Thermal energy storage for grid applications: Current status and emerging trends,185,2020,"… The temperature-based categorisation shown in Table 1 (with values taken from [18,34]) indicates a further way to partition the TES technologies into low-temperature and high-…",https://www.mdpi.com/1996-1073/13/2/340,,0,"low-temperature, thermal grid",10.3390/en13020340,Diana Enescu; Gianfranco Chicco; Radu Porumb; George Seritan,1/10/2020,"Thermal energy systems (TES) contribute to the on-going process that leads to higher integration among different energy systems, with the aim of reaching a cleaner, more flexible and sustainable use of the energy resources. This paper reviews the current literature that refers to the development and exploitation of TES-based solutions in systems connected to the electrical grid. These solutions facilitate the energy system integration to get additional flexibility for energy management, enable better use of variable renewable energy sources (RES), and contribute to the modernisation of the energy system infrastructures, the enhancement of the grid operation practices that include energy shifting, and the provision of cost-effective grid services. This paper offers a complementary view with respect to other reviews that deal with energy storage technologies, materials for TES applications, TES for buildings, and contributions of electrical energy storage for grid applications. The main aspects addressed are the characteristics, parameters and models of the TES systems, the deployment of TES in systems with variable RES, microgrids, and multi-energy networks, and the emerging trends for TES applications.",https://www.mdpi.com/1996-1073/13/2/340/pdf,141.0
Role of sustainable heat sources in transition towards fourth generation district heating A review,185,2022,"… storage coupled with heat pumps is expected to play a crucial role in maximizing renewable energy use, but its sizing and integration requires dynamic analysis of heat demand as well …",https://www.sciencedirect.com/science/article/pii/S1364032122000843,,0,"4th generation, district heat pump",10.1016/j.rser.2022.112156,A.M. Jodeiri; M.J. Goldsworthy; S. Buffa; M. Cozzini,2022-4,,https://api.elsevier.com/content/article/PII:S1364032122000843?httpAccept=text/xml,126.0
The benefits of 4th generation district heating in a 100 renewable energy system,176,2020,"… the current 3 rd generation district heating (3GDH) systems towards 4 th generation district heating (4GDH) systems can facilitate a better integration between energy sectors, reduce …",https://www.sciencedirect.com/science/article/pii/S036054422032137X,,0,"4th generation, district heating and cooling",10.1016/j.energy.2020.119030,Peter Sorknæs; Poul Alberg Østergaard; Jakob Zinck Thellufsen; Henrik Lund; Steffen Nielsen; Søren Djørup; Karl Sperling,2020-12,,https://api.elsevier.com/content/article/PII:S036054422032137X?httpAccept=text/xml,110.0
Economic benefits of fourth generation district heating,175,2020,"The main impetus for lower distribution temperatures in district heating systems is the lower heat supply costs obtained by these lower temperatures. In this paper, the differences in heat …",https://www.sciencedirect.com/science/article/pii/S0360544219324223,,0,"4th generation, district heating and cooling",10.1016/j.energy.2019.116727,Helge Averfalk; Sven Werner,2020-2,,https://api.elsevier.com/content/article/PII:S0360544219324223?httpAccept=text/xml,100.0
Geothermal energy at different depths for district heating and cooling of existing and future building stock,166,2022,"… in the building sector, district heating and cooling (DHC) field, … and climate-friendly heating and cooling supply systems and … The tendency towards lower temperatures in district heating …",https://www.sciencedirect.com/science/article/pii/S1364032122006165,,0,"low temperature, district heating and cooling",10.1016/j.rser.2022.112727,D. Romanov; B. Leiss,2022-10,,https://api.elsevier.com/content/article/PII:S1364032122006165?httpAccept=text/xml,128.0
