title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Design of district heating system with dual-temperature supply based on thermal energy discretisation and matching method,2,2023,"… Meanwhile, the low-temperature primary water is first used to directly heat the secondary water at the floor heating side before being used as the low-temperature heat source of the …",https://www.sciencedirect.com/science/article/pii/S0959652623026914,,0,"low-temperature, district thermal"
Energy analysis of an ultra-low temperature district heating and cooling system with coaxial borehole heat exchangers,11,2023,… thermal performance of CBHE is better with balanced thermal loads because of the higher thermal … This work analyses an ultra-low temperature district heating and cooling (ULTDHC) …,https://www.sciencedirect.com/science/article/pii/S0360544223012793,,0,"low-temperature, district thermal"
Study on the performance of a forced convection low temperature radiator for district heating,10,2023,"Low temperature district heating has significant advantages in energy efficiency, but a huge amount of existing radiators lack the capabilities for low-temperate heating. The innovation …",https://www.sciencedirect.com/science/article/pii/S0360544223024301,,0,"low-temperature, district thermal"
Multiobjective optimization and analysis of low-temperature district heating systems coupled with distributed heat pumps,18,2023,… the real-time supply temperature for low-temperature district heating with booster heat pumps. The … This work can contribute to the deployment of efficient low temperature networks. …,https://www.sciencedirect.com/science/article/pii/S1359431123008475,,0,"low-temperature, district thermal"
Evaluation of low temperature waste heat as a low carbon heat resource in the UK,17,2023,"… low temperature waste heat, most notably for the power generation sector, which accounted for 95% of the low temperature … 1 of potential thermal energy output from the low temperature …",https://www.sciencedirect.com/science/article/pii/S1359431123013121,,0,"low-temperature, district thermal"
Novel solar-driven low temperature district heating and cooling system based on distributed half-effect absorption heat pumps with lithium bromide,16,2023,"… The heated hot water from the solution-to-water heat exchanger enters into the unpressurized pit thermal energy storage, and low temperature water from the unpressurized thermal …",https://www.sciencedirect.com/science/article/pii/S0360544223002785,,0,"low-temperature, district thermal"
Reduction of supply temperature in existing district heating: A review of strategies and implementations,64,2023,"… In the literature, several works exist on low temperature and ultra-low temperature DH. mainly … , Thermal storage units in low temperature systems present the advantage of lower thermal …",https://www.sciencedirect.com/science/article/pii/S0360544222022459,,0,"low-temperature, district thermal"
Configuration optimization of solar-driven low temperature district heating and cooling system integrated with distributed water-lithium bromide absorption …,19,2023,"… low temperature thermal energy such as low temperature solar thermal energy, low temperature … Thus, it would be a better choice for the sustainable low temperature district heating and …",https://www.sciencedirect.com/science/article/pii/S0038092X23001202,,0,"low-temperature, district thermal"
Demand side flexibility for a Heat Booster Substation with ultra low temperature district heating,6,2023,… -low temperature district heating (ULTDH) systems improve the heat distribution efficiency by reducing thermal … developed to optimally utilize the thermal energy storage capability of the …,https://www.sciencedirect.com/science/article/pii/S2352467723001935,,0,"low-temperature, district thermal"
Building heat demand characteristics in a planned city district with low-temperature district heating supply,1,2023,"… by a low-temperature district heating system. The simulated buildings are a part of a planned city district, … heating system is best suited for low-temperature heat supply. The temperature …",https://www.ecp.ep.liu.se/index.php/sims/article/view/742,,0,"low-temperature, district thermal"
