title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
"Demand side management full season optimal operation potential analysis for coupled hybrid photovoltaic/thermal, heat pump, and thermal energy storage …",5,2024,… demand-side management (DSM). This paper combines the energy coupling system with demand-side management to … that can be combined with heat pumps and energy storage in a …,https://www.sciencedirect.com/science/article/pii/S2352152X2303774X,,0,"heat pump, demand side management"
Gossen's first law in the modeling for demand side management: a thorough heat pump case study with deep learning based partial time series data generation,0,2024,"… (2024) is only validated for 24 h based on a Ground Source Heat Pump (GSHP) in a stand-alone house with 4 model classes as the preliminary work. In the present work, the heat pump …",https://link.springer.com/article/10.1186/s42162-024-00353-z,,0,"heat pump, demand side management"
Demand side management optimization and energy labeling of multi-purpose buildings,3,2024,"… of photovoltaics (PV), employing building energy management system (BEMS), and switching the central system to gas engine-driven heat pump (GEHP) were analyzed. The reduction …",https://www.sciencedirect.com/science/article/pii/S2352710224007113,,0,"heat pump, demand side management"
Pattern-driven behaviour for demand-side management: An analysis of appliance use,4,2024,… This paper first outlines and analyses these datasets' capabilities to leverage data-driven decision-making for more efficient deployments of demand-side management (DSM) systems. …,https://www.sciencedirect.com/science/article/pii/S037877882400104X,,0,"heat pump, demand side management"
… OF DEMAND-SIDE MANAGEMENT THROUGH DYNAMIC SIMULATION: INTEGRATING SMART-GRID-READY CONTROL OF RESIDENTIAL HEAT PUMPS,0,,… is called Demand Side Management (DSM). Most modern heat pumps are already equipped … the possibilities and potential offered by consumer-side control using a heat pump system. …,https://juniorstav.fce.vutbr.cz/wp-content/uploads/2024/04/01_DOI24145_FINAL-Miklos-Horvath.pdf,http://scholar.google.com/https://juniorstav.fce.vutbr.cz/wp-content/uploads/2024/04/01_DOI24145_FINAL-Miklos-Horvath.pdf,0,"heat pump, demand side management"
A data-driven approach with dynamic load control for efficient demand-side management in residential household across multiple devices,0,2024,"… In this paper, a dynamic load control mechanism is designed which optimizes the operation of individual appliances (heat pump, electric boiler, battery storage, solar PV and electric car)…",https://www.sciencedirect.com/science/article/pii/S2352484724003019,,0,"heat pump, demand side management"
Two‐stage demand‐side management in energy flexible residential buildings,2,2024,"… Equation (10) shows that the COP depends on the heat source temperature ( θ s o u r c e $\… for air-source heat pumps, and the supply temperature ( θ s u p p l y $\theta ^{supply}$ ). The …",https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/tje2.12372,,0,"heat pump, demand side management"
Two-level collaborative demand-side management for regional distributed energy system considering carbon emission quotas,4,2024,"… collaborative demand-side management framework that allows users to participate in demand … Three ICEs with 9500 kW, three absorption chillers of 7400 kW, and four heat pumps of …",https://www.sciencedirect.com/science/article/pii/S0959652623042531,,0,"heat pump, demand side management"
Leveraging flexibility of residential heat pumps through local energy markets,3,2024,"… peaks resulting from heat pumps. In conclusion, the study emphasizes the key role of heat pumps … On the demand side, the LEM can slightly mitigate the high demand peaks but cannot …",https://www.sciencedirect.com/science/article/pii/S0306261923016331,,0,"heat pump, demand side management"
Peak regulation strategies for ground source heat pump demand response of based on load forecasting: A case study of rural building in China,2,2024,"… of consumers on the power demand side, the building sector … of demand-side management in the peak load management … the proposed demand-side management technique. In …",https://www.sciencedirect.com/science/article/pii/S0960148124001241,,0,"heat pump, demand side management"
"Data-based, high spatiotemporal resolution heat pump demand for power system planning",2,2024,… demand variation. This work presents a novel method to generate high spatiotemporal … heat pump demand profiles based on heat pump field trial data. These spatially varied demand …,https://www.sciencedirect.com/science/article/pii/S0306261923016951,,0,"heat pump, demand side management"
Data-driven approaches to achieve energy transition: Statistical analysis of demand-side management and smart decision making in urban energy hub …,1,2024,… growing emphasis on demand-side management and the integration of responsive technologies within households. Such categorization and control mechanisms empower households …,https://www.sciencedirect.com/science/article/pii/S221067072300759X,,0,"heat pump, demand side management"
Operational Strategy of a DC Inverter Heat Pump System Considering PV Power Fluctuation and Demand-Side Load Characteristics,0,2024,"… control methods of heat pumps include sequential control of multiple heat pumps, control of return water temperature, and control … , the control strategy of the DC inverter heat pumps …",https://www.mdpi.com/2075-5309/14/4/1139,,0,"heat pump, demand side management"
Assessing the Flexibility Potential of Industrial Heat–Electricity Sector Coupling through High-Temperature Heat Pumps: The Case Study of Belgium,1,2024,… Demand-Side Management strategies. The aim of this paper is to quantify the impact on the energy system due to the integration of industrial high-temperature heat pumps … demand side…,https://www.mdpi.com/1996-1073/17/2/541,,0,"heat pump, demand side management"
Beyond the average consumer: Mapping the potential of demand-side management among patterns of appliance usage,1,2024,"… , and policy design in the field of Demand-Side Management. Indeed, they can offer great … They can address technological changes (eg replacing a gas boiler with a heat pump, or …",https://www.sciencedirect.com/science/article/pii/S2214629624000549,,0,"heat pump, demand side management"
The potential of decentral heat pumps as flexibility option for decarbonised energy systems,2,2024,… Increased shares of vRES lead to more fluctuating generation behaviour on the supply side of the electricity system and the need for flexibility options to balance supply and demand. …,https://link.springer.com/article/10.1007/s12053-024-10206-z,,0,"heat pump, demand side management"
Optimized energy management of a photovoltaic-heat pump sector coupling system with electrical and thermal energy storages in an office building,0,2024,"… for demand-side management can be achieved. To store thermal energy for heating and cooling purposes, latent heat TES … Their advantage over sensible heat TES lies in their ability to …",https://digital-library.theiet.org/content/conferences/10.1049/icp.2024.1843,,0,"heat pump, demand side management"
Model coupling and comparison on optimal load shifting of battery electric vehicles and heat pumps focusing on generation adequacy,0,2024,"… and advantageous load shifts on the demand side (optimized charging of BEVs and … such as power plants, vRES, demand or demand-side management (DSM). Bids for dispatchable …",https://www.sciencedirect.com/science/article/pii/S0360544224020401,,0,"heat pump, demand side management"
Demand side management strategy for smart building using multi-objective hybrid optimization technique,5,2024,… This study proposes a home energy management system that uses the load-shifting technique for demand-side management as a way to improve the energy consumption patterns of a …,https://www.sciencedirect.com/science/article/pii/S2590123024005206,,0,"heat pump, demand side management"
Grey-box model-based demand side management for rooftop PV and air conditioning systems in public buildings using PSO algorithm,0,2024,… Indoor air temperature set-point resetting is a typical passive demand response (DR) control … This study proposes a grey-box model-based demand side management (DSM) method for …,https://www.sciencedirect.com/science/article/pii/S0360544224008247,,0,"heat pump, demand side management"
Integrated heat pump with phase change materials for space heating,0,2024,"… for space heating by integrating heat pump (HP) with phase change material (PCM). The … In particular, the TES system using phase change materials (PCMs) offers interesting solutions …",https://www.sciencedirect.com/science/article/pii/S1364032124004957,,0,"heat pump, phase change material"
