title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Model predictive control for central plant optimization with thermal energy storage,15,2014,"… energy plant including heat pump chillers, conventional chillers, water heaters, and hot and cold water (thermal energy) storage. … to both real-time energy prices and demand charges. A …",https://docs.lib.purdue.edu/ihpbc/122/,,0,"heat pump, thermal energy storage, model predictive control"
Model predictive control of central chiller plant with thermal energy storage via dynamic programming and mixed-integer linear programming,123,2014,… systems can help realize the full potential of both energy and cost savings for … control using a model predictive control (MPC) scheme. The main idea of MPC is to use the system model …,https://ieeexplore.ieee.org/abstract/document/6899700/,,0,"heat pump, thermal energy storage, model predictive control"
Model predictive control of domestic heat pump,52,2013,"… water heat pump, thermal energy from the ground is used to heat … the evaporator where thermal energy is transferred from the … , “Using heat pump energy storages in the power grid,” in …",https://ieeexplore.ieee.org/abstract/document/6580131/,,0,"heat pump, thermal energy storage, model predictive control"
"… identification and model-predictive control of office buildings with integrated photovoltaic-thermal collectors, radiant floor heating and active thermal storage",129,2015,… saving potential of the integrated system and the predictive controller in … heat pump and a thermal energy storage (TES) tank that serves as the heat source for the radiant floor heating (…,https://www.sciencedirect.com/science/article/pii/S0038092X14005684,,0,"heat pump, thermal energy storage, model predictive control"
Model predictive control of heat pump water heaters for energy efficiency,37,2014,"… a model predictive control (MPC) framework that aims to achieve maximum energy savings while maintaining thermal … of node i, and denotes the rate of change in thermal energy. …",https://www.researchgate.net/profile/Xin-Jin-94/publication/267026958_Model_Predictive_Control_of_Heat_Pump_Water_Heaters_for_Energy_Efficiency/links/54414a010cf2a76a3cc7d7a6/Model-Predictive-Control-of-Heat-Pump-Water-Heaters-for-Energy-Efficiency.pdf,http://scholar.google.com/https://www.researchgate.net/profile/Xin-Jin-94/publication/267026958_Model_Predictive_Control_of_Heat_Pump_Water_Heaters_for_Energy_Efficiency/links/54414a010cf2a76a3cc7d7a6/Model-Predictive-Control-of-Heat-Pump-Water-Heaters-for-Energy-Efficiency.pdf,0,"heat pump, thermal energy storage, model predictive control"
Building demand-side control using thermal energy storage under uncertainty: An adaptive Multiple Model-based Predictive Control (MMPC) approach,41,2013,… control measures should be placed proactively in a harmonized fashion. Mechanical thermal energy storage (… technical instrument of the demand-side control that can be selected for an …,https://www.sciencedirect.com/science/article/pii/S0360132313001443,,0,"heat pump, thermal energy storage, model predictive control"
Hybrid model predictive control of stratified thermal storages in buildings,34,2014,"… model predictive control (MPC) algorithm for the management of stratified thermal storage tanks … of the building's heat/cold generation, consumption and consumption control. The main …",https://www.sciencedirect.com/science/article/pii/S0378778814005921,,0,"heat pump, thermal energy storage, model predictive control"
Hybrid model predictive control of a residential HVAC system with PVT energy generation and PCM thermal storage,51,2015,"… ducted reverse-cycle heat pump system. The system was … electricity and low grade thermal energy, and the PCM store … have on-site renewable energy generation, energy storage and/or …",https://www.sciencedirect.com/science/article/pii/S187661021502857X,,0,"heat pump, thermal energy storage, model predictive control"
Management of hybrid energy supply systems in buildings using mixed-integer model predictive control,79,2015,"… storage tank and a switched heat pump with minimum on/off times. The mixed-integer model predictive controller … That is why appropriate thermal energy storages become necessary, [2]…",https://www.sciencedirect.com/science/article/pii/S0196890415001971,,0,"heat pump, thermal energy storage, model predictive control"
Central model predictive control of a group of domestic heat pumps case study for a small district,11,2015,… that a model predictive control outperforms conventional control of individual heat pumps based on feedback control … The ability of the floor heating to store thermal energy and possible …,https://ieeexplore.ieee.org/abstract/document/7297969/,,0,"heat pump, thermal energy storage, model predictive control"
Comparison of models for thermal energy storage units and heat pumps in mixed integer linear programming,28,2015,"… Typically, the models for heat pumps and thermal energy storage … TES units for example are usually modeled as thermal capacities … models can be incorporated into a model predictive …",https://www.researchgate.net/profile/Thomas-Schuetz/publication/279916800_Comparison_of_models_for_thermal_energy_storage_units_and_heat_pumps_in_mixed_integer_linear_programming/links/559e1f0a08ae04e3650916dc/Comparison-of-models-for-thermal-energy-storage-units-and-heat-pumps-in-mixed-integer-linear-programming.pdf,http://scholar.google.com/https://www.researchgate.net/profile/Thomas-Schuetz/publication/279916800_Comparison_of_models_for_thermal_energy_storage_units_and_heat_pumps_in_mixed_integer_linear_programming/links/559e1f0a08ae04e3650916dc/Comparison-of-models-for-thermal-energy-storage-units-and-heat-pumps-in-mixed-integer-linear-programming.pdf,0,"heat pump, thermal energy storage, model predictive control"
Investigation of thermal storage operation strategies with heat pumps in German multi family houses,52,2014,"… applications of heat pumps in households connected to a thermal storage are … Model predictive control of thermal energy storage in building cooling systems,” Decision and Control…",https://www.sciencedirect.com/science/article/pii/S1876610214017871,,0,"heat pump, thermal energy storage, model predictive control"
Smart grid energy flexible buildings through the use of heat pumps and building thermal mass as energy storage in the Belgian context,159,2015,"… energy cost reduction through load shifting and peak shaving. Embedded model predictive control … Q HP,floor represents the share of thermal energy provided by the heat production …",https://www.tandfonline.com/doi/abs/10.1080/23744731.2015.1035590,,0,"heat pump, thermal energy storage, model predictive control"
Hybrid model predictive control for optimal energy management of a smart house,22,2015,"… model, we derive a hybrid model predictive control (MPC) strategy. The controller is able to track the desired temperature … the energy stored in the battery for the day, when the price of …",https://ieeexplore.ieee.org/abstract/document/7165215/,,0,"heat pump, thermal energy storage, model predictive control"
A novel linear predictive control approach for auxiliary energy supply to a solar thermal combistorage,32,2014,… model predictive approach to control the auxiliary heating for … energy supply has to “compete against” the auxiliary energy … or auxiliary energy supply into a thermal energy storage (TES…,https://www.sciencedirect.com/science/article/pii/S0038092X1300532X,,0,"heat pump, thermal energy storage, model predictive control"
