title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
"A review of chemical heat pumps, thermodynamic cycles and thermal energy storage technologies for low grade heat utilisation",301,2013.0,"… and the future direction of thermal related technologies across all temperature ranges. This … , ie thermal energy storage, chemical heat pumps (thermo-chemical energy conversion) and …",https://www.sciencedirect.com/science/article/pii/S1359431112004620,,0,"heat pump, thermal energy storage"
Domestic demand-side management (DSM): Role of heat pumps and thermal energy storage (TES) systems,478,2013.0,… This paper analyzes heat pumps with radiators or underfloor heating distribution systems … a heat pump system behaves and how it influences the building occupants' thermal comfort …,https://www.sciencedirect.com/science/article/pii/S1359431112006357,,0,"heat pump, thermal energy storage"
Thermal energy storage using thermo-chemical heat pump,43,2013.0,"… A theoretical study was performed to investigate the potential of storing thermal energy using a heat pump which is a thermo-chemical storage system consisting of water as sorbet, and …",https://www.sciencedirect.com/science/article/pii/S0196890412001483,,0,"heat pump, thermal energy storage"
Thermal energy storage strategies for effective closed greenhouse design,130,2013.0,"… In this study, a heat pump with COP 5 has been assumed. However, from the sensitivity analysis results it was found that the COP does not have a major impact on the payback period …",https://www.sciencedirect.com/science/article/pii/S0306261912009567,,0,"heat pump, thermal energy storage"
Isothermal transcritical CO2 cycles with TES (thermal energy storage) for electricity storage,111,2013.0,… large-scale energy storage wherein electric power is stored as thermal energy by using a heat pump and retrieved from the TES (thermal energy storage) by using a heat engine. The …,https://www.sciencedirect.com/science/article/pii/S0360544212007360,,0,"heat pump, thermal energy storage"
Underground thermal energy storage,144,2013.0,"… thermal energy storage for cooling, combined heating and cooling, and low-temperature heating such as heat source for heat pumps… of storage and mere ground source heat pumps (…",https://link.springer.com/chapter/10.1007/978-1-4471-4273-7_2,,0,"heat pump, thermal energy storage"
Thermodynamic analysis of pumped thermal electricity storage,246,2013.0,"… towards future storage needs. During charge, PTES makes use of a high temperature ratio heat pump to convert electrical energy into thermal energy which is stored as ‘sensible heat’ …",https://www.sciencedirect.com/science/article/pii/S1359431112002141,,0,"heat pump, thermal energy storage"
… geothermal energy on groundwater quality: a hydrochemical and geomicrobial study of the effects of ground source heat pumps and aquifer thermal energy …,39,2013.0,"… Panel B: Open loop ground source heat pump in summer. Panel C: Closed loop ground source heat pump in winter (also known as borehole thermal energy storage, BTES). Panel D: …",https://research.vu.nl/files/42125476/complete%20dissertation.pdf,http://scholar.google.com/https://research.vu.nl/files/42125476/complete%20dissertation.pdf,0,"heat pump, thermal energy storage"
Thermodynamic efficiency of pumped heat electricity storage,133,2013.0,… Electric energy is converted to thermal energy using a heat pump cycle operating between the ambient temperature T0 and a thermal energy storage with temperature T1 as shown in …,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.111.110602,,0,"heat pump, thermal energy storage"
Ground source heat pump modelling with thermal storage simulation and integration issues in Energyplus,10,2013.0,"… temperature energy storage, which is required within this study, (iii) the presence of a GSHP object on the same plant loop was incompatible with the use of the PCM TSU object: the …",https://www.aivc.org/sites/default/files/p_1398.pdf,http://scholar.google.com/https://www.aivc.org/sites/default/files/p_1398.pdf,0,"heat pump, thermal energy storage"
Energy system investment model incorporating heat pumps with thermal storage in buildings and buffer tanks,124,2013.0,"… that facilitates analysing individual heat pumps and complementing heat storages in integration with the energy system, while … /electric boilers and loading of electricity storages (MW) …",https://www.sciencedirect.com/science/article/pii/S036054421300827X,,0,"heat pump, thermal energy storage"
Performance and thermal charging/discharging features of a phase change material assisted heat pump system in heating mode,60,2013.0,"… In recent years, thermal energy storage is playing an increasing important role in … in winter makes extensive use of advantages of heat pump technology and energy storage technology. …",https://www.sciencedirect.com/science/article/pii/S135943111300313X,,0,"heat pump, thermal energy storage"
Economic assessment of the mobilized thermal energy storage (M-TES) system for distributed heat supply,98,2013.0,… supply methods such as pellet/bio-oil/oil/biogas boiler systems and the electrical air-source heat pump. Results provide insights about the practical conditions for M-TES and …,https://www.sciencedirect.com/science/article/pii/S0306261912008033,,0,"heat pump, thermal energy storage"
Underground thermal energy storage (UTES),37,2013.0,… storage of thermal energy storage. There are also combinations in which the storage is used for both short-term and seasonal storage. … have storage systems without any heat pumps for …,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1003891,,0,"heat pump, thermal energy storage"
Flexibility of a combined heat and power system with thermal energy storage for district heating,483,2013.0,… the remaining thermal energy present in the thermal energy storage and Q t the district heat … optimized by eg adding heat pumps to supply some of the heat demand and therefore lower …,https://www.sciencedirect.com/science/article/pii/S0306261912008227,,0,"heat pump, thermal energy storage"
Review of thermal energy storage technologies and experimental investigation of adsorption thermal energy storage for residential application,57,2013.0,"… can be from seasonal solar energy storage at high temperature level to heating, ventilation, and air conditioning, and refrigeration (HVAC&R) at low temperature level. …",https://search.proquest.com/openview/20767f113ede0aa080d5ae7b26c00b26/1?pq-origsite=gscholar&cbl=18750,,0,"heat pump, thermal energy storage"
Thermal energy storage technologies and systems for concentrating solar power plants,1518,2013.0,"… of storage media, there are not many that focus on storage … This paper discusses the thermal energy storage system … with thermal and exergy efficiency analyses of various thermal …",https://www.sciencedirect.com/science/article/pii/S0360128513000026,,0,"heat pump, thermal energy storage"
Large thermal energy storage at Marstal district heating,25,2013.0,"… covered by individual heating dominated by gas or oil. A minor part is heated by other types of energy eg, wood, geothermal energy, heat pumps etc. A lot of district heating systems are …",https://www.cfms-sols.org/sites/default/files/Actes/3351-3354.pdf,http://scholar.google.com/https://www.cfms-sols.org/sites/default/files/Actes/3351-3354.pdf,0,"heat pump, thermal energy storage"
Thermal energy storage,13,2013.0,"… Energy Savings There are three main mechanisms through which cool thermal energy storage can contribute to site energy savings. First, cool storage is charged overnight, when …",https://www.calmac.com/stuff/contentmgr/files/0/6ea8b22e25785dca1450b086a73c4df7/pdf/save_energy__money_ashrae_journal_june_2013.pdf,http://scholar.google.com/https://www.calmac.com/stuff/contentmgr/files/0/6ea8b22e25785dca1450b086a73c4df7/pdf/save_energy__money_ashrae_journal_june_2013.pdf,0,"heat pump, thermal energy storage"
Benefits of thermal energy storage option combined with CHP system for different commercial building types,154,2013.0,"… such as projected energy prices, acceptable … thermal storage material and the materials used for the TS equipment [17]. This paper investigates the benefits of thermal energy storage …",https://www.sciencedirect.com/science/article/pii/S2213138812000021,,0,"heat pump, thermal energy storage"
Recent research and applications of ground source heat pump integrated with thermal energy storage systems: A review,155,2014.0,"… The parameters used for the model components such as borehole heat exchange/borehole thermal energy storage, solar collector, heat pump, and fan-coils correspond to those of the …",https://www.sciencedirect.com/science/article/pii/S1359431114005201,,0,"heat pump, thermal energy storage"
PCM thermal energy storage tanks in heat pump system for space cooling,121,2014.0,… A heat pump coupled to thermal energy storage (TES) tanks is experimentally tested under … The study evaluates the thermal behaviour of the TES tank for cold storage and the …,https://www.sciencedirect.com/science/article/pii/S0378778814005830,,0,"heat pump, thermal energy storage"
"Performance analysis and parametric study of thermal energy storage in an aquifer coupled with a heat pump and solar collectors, for a residential complex in …",78,2014.0,"… thermal energy storage (ATES), including: using ATES for cooling alone, for cooling and heating, as a heat pump, and for heating … with ATES for thermal energy storage for heating of the …",https://www.sciencedirect.com/science/article/pii/S1359431113006716,,0,"heat pump, thermal energy storage"
