query,title,authors,publication,date,doi,citations,link
4th generation AND district heating and cooling,Low-temperature district heating operations using heat cost allocators in apartment buildings,Yang Q.,Building and Environment,2026-02-01,10.1016/j.buildenv.2025.114095,0,https://api.elsevier.com/content/abstract/scopus_id/105023648143
4th generation AND district heating and cooling,Hybrid solar transcritical CO2 and green hydrogen loop for sustainable off-grid energy: Performance analysis and techno-economic optimization,Ramachandran S.,Renewable Energy,2026-02-01,10.1016/j.renene.2025.124747,0,https://api.elsevier.com/content/abstract/scopus_id/105022215356
4th generation AND district heating and cooling,Assessment of a polygeneration system for district heating and cooling using biogas from wastewater treatment plants,Picardo A.,Energy Conversion and Management,2026-01-15,10.1016/j.enconman.2025.120615,0,https://api.elsevier.com/content/abstract/scopus_id/105017553067
4th generation AND district heating and cooling,Consensus clustering of residential districts under various DR regimes: Stable flexibility oriented building clusters,Jafarinejad T.,Energy and Buildings,2026-01-15,10.1016/j.enbuild.2025.116694,0,https://api.elsevier.com/content/abstract/scopus_id/105021931301
4th generation AND district heating and cooling,Sizing procedure of low-enthalpy district heating and cooling heat pump plants: A case study of the Balearic Islands university campus,Bibiloni-Mulet P.A.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116582,0,https://api.elsevier.com/content/abstract/scopus_id/105022150047
4th generation AND district heating and cooling,A comprehensive techno-economic analysis of solar energy integration in low-temperature district heating and cooling systems,Russo G.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124017,5,https://api.elsevier.com/content/abstract/scopus_id/105011876473
4th generation AND district heating and cooling,"Evaluating Retrofit Strategies and Decentralized Systems for the Transition to Low-Temperature District Heating: A Simulation-Based Case Study in Borlänge, Sweden",Ayyathurai V.P.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-032-03101-3_6,0,https://api.elsevier.com/content/abstract/scopus_id/105021834383
4th generation AND district heating and cooling,District heating modeling tools: A review based on design and simulation of renewable district heating networks,Valentini L.V.,Energy Conversion and Management X,2026-01-01,10.1016/j.ecmx.2025.101414,0,https://api.elsevier.com/content/abstract/scopus_id/105023079317
4th generation AND district heating and cooling,Dynamic temperature supply to boost the integration of renewable energy into existing district heating networks,Capone M.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124315,2,https://api.elsevier.com/content/abstract/scopus_id/105014373411
4th generation AND district heating and cooling,A review on optimization of district energy systems,Abdelghani D.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116041,1,https://api.elsevier.com/content/abstract/scopus_id/105012629133
4th generation AND district heating and cooling,Optimization of supply water temperature for heat demand-supply balance: A weighted thermal disturbance-based regulation model,Jian Y.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116619,0,https://api.elsevier.com/content/abstract/scopus_id/105022154447
4th generation AND district heating and cooling,Real-world deployment of model-free reinforcement learning for energy control in district heating systems: Enhancing flexibility across neighboring buildings,Moshari A.,Applied Energy,2026-01-01,10.1016/j.apenergy.2025.126997,0,https://api.elsevier.com/content/abstract/scopus_id/105020937658
4th generation AND district heating and cooling,Method for Optimal Implementation of Energy Efficient Technologies in Heating Systems,Polyvianchuk A.,Lecture Notes in Networks and Systems,2026-01-01,10.1007/978-3-032-06832-3_17,0,https://api.elsevier.com/content/abstract/scopus_id/105019649539
4th generation AND district heating and cooling,"Integrating solutions for enabling the sustainable development of energy, water and environment systems",Kılkış Ş.,Energy Conversion and Management,2026-01-01,10.1016/j.enconman.2025.120492,1,https://api.elsevier.com/content/abstract/scopus_id/105016830534
4th generation AND district heating and cooling,Thermal energy storage–coupled heat pump systems: Review of configurations and modelling approaches,Zhou J.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116226,1,https://api.elsevier.com/content/abstract/scopus_id/105014016864
4th generation AND district heating and cooling,Recent advancements in internal and external thermoregulation strategies for lithium-ion batteries,Marri G.K.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116127,6,https://api.elsevier.com/content/abstract/scopus_id/105011962983
4th generation AND district heating and cooling,Investigation on the supercooling release process in swirling flow crystallizer for supercooled ice slurry generation system,Du Q.,Journal of Energy Storage,2026-01-01,10.1016/j.est.2025.119234,0,https://api.elsevier.com/content/abstract/scopus_id/105020800207
4th generation AND district heating and cooling,Low-carbon configuration of an integrated electricity-gas-thermal energy storage system for effective grid management: Comprehensive sustainability quantification,Lu Y.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116413,0,https://api.elsevier.com/content/abstract/scopus_id/105021880336
4th generation AND district heating and cooling,A comprehensive review of deep reinforcement learning applications from centralized power generation to modern energy internet frameworks,Mahmud S.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116481,0,https://api.elsevier.com/content/abstract/scopus_id/105021859452
4th generation AND district heating and cooling,Ventilation systems balancing rapid pollutant removal and energy efficiency in the post-pandemic era: a literature review,Zhang J.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116175,1,https://api.elsevier.com/content/abstract/scopus_id/105012587022
4th generation AND district heating and cooling,Demand Response in Smart Microgrids: Advanced and Optimal Energy Management Strategies,Ouassaid M.,Studies in Systems Decision and Control,2026-01-01,10.1007/978-3-032-02492-3,0,https://api.elsevier.com/content/abstract/scopus_id/105020789714
4th generation AND district heating and cooling,Design and flexible operation study of a bidirectional thermal substation based on building thermal battery model in fifth generation heating and cooling systems,Guo Y.,Applied Thermal Engineering,2025-12-15,10.1016/j.applthermaleng.2025.128817,0,https://api.elsevier.com/content/abstract/scopus_id/105022183480
4th generation AND district heating and cooling,Estimating the value of novel heat sources in district heating systems from the perspective of energy utilities using a merit order approach,Thommessen C.,Applied Energy,2025-12-15,10.1016/j.apenergy.2025.126594,1,https://api.elsevier.com/content/abstract/scopus_id/105013565286
4th generation AND district heating and cooling,Understanding and coping with uncertainties in district heating systems: a multi-pathway review from probabilistic modeling to intelligent integration,Liang X.,Energy and Buildings,2025-12-15,10.1016/j.enbuild.2025.116514,0,https://api.elsevier.com/content/abstract/scopus_id/105020256918
4th generation AND district heating and cooling,Innovative approach and numerical modeling to retrofit existing substations for bidirectional operation: Enabling thermal prosumer participation in District Heating Network,Gianaroli F.,Applied Energy,2025-12-15,10.1016/j.apenergy.2025.126698,1,https://api.elsevier.com/content/abstract/scopus_id/105015694213
4th generation AND district thermal,"Geochemical signatures, hydrocarbon generation kinetics, and oil-source correlation of the Es4 member source rocks in the Liaohe Western depression: implications for tight oil exploration in continental rift basins",Ge Z.,Fuel,2026-02-15,10.1016/j.fuel.2025.137033,0,https://api.elsevier.com/content/abstract/scopus_id/105020257440
4th generation AND district thermal,Low-temperature district heating operations using heat cost allocators in apartment buildings,Yang Q.,Building and Environment,2026-02-01,10.1016/j.buildenv.2025.114095,0,https://api.elsevier.com/content/abstract/scopus_id/105023648143
4th generation AND district thermal,Hybrid solar transcritical CO2 and green hydrogen loop for sustainable off-grid energy: Performance analysis and techno-economic optimization,Ramachandran S.,Renewable Energy,2026-02-01,10.1016/j.renene.2025.124747,0,https://api.elsevier.com/content/abstract/scopus_id/105022215356
4th generation AND district thermal,Aligning European Union ambitions of renewable energy communities with citizens actions using United Nations sustainable neighbourhood indexes,Llewellyn J.,Energy Policy,2026-02-01,10.1016/j.enpol.2025.114960,0,https://api.elsevier.com/content/abstract/scopus_id/105020855392
4th generation AND district thermal,Assessment of a polygeneration system for district heating and cooling using biogas from wastewater treatment plants,Picardo A.,Energy Conversion and Management,2026-01-15,10.1016/j.enconman.2025.120615,0,https://api.elsevier.com/content/abstract/scopus_id/105017553067
4th generation AND district thermal,Consensus clustering of residential districts under various DR regimes: Stable flexibility oriented building clusters,Jafarinejad T.,Energy and Buildings,2026-01-15,10.1016/j.enbuild.2025.116694,0,https://api.elsevier.com/content/abstract/scopus_id/105021931301
4th generation AND district thermal,Optimization of supply water temperature for heat demand-supply balance: A weighted thermal disturbance-based regulation model,Jian Y.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116619,0,https://api.elsevier.com/content/abstract/scopus_id/105022154447
4th generation AND district thermal,Sizing procedure of low-enthalpy district heating and cooling heat pump plants: A case study of the Balearic Islands university campus,Bibiloni-Mulet P.A.,Energy and Buildings,2026-01-01,10.1016/j.enbuild.2025.116582,0,https://api.elsevier.com/content/abstract/scopus_id/105022150047
4th generation AND district thermal,A comprehensive techno-economic analysis of solar energy integration in low-temperature district heating and cooling systems,Russo G.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124017,5,https://api.elsevier.com/content/abstract/scopus_id/105011876473
4th generation AND district thermal,"Evaluating Retrofit Strategies and Decentralized Systems for the Transition to Low-Temperature District Heating: A Simulation-Based Case Study in Borlänge, Sweden",Ayyathurai V.P.,Lecture Notes in Computer Science,2026-01-01,10.1007/978-3-032-03101-3_6,0,https://api.elsevier.com/content/abstract/scopus_id/105021834383
4th generation AND district thermal,District heating modeling tools: A review based on design and simulation of renewable district heating networks,Valentini L.V.,Energy Conversion and Management X,2026-01-01,10.1016/j.ecmx.2025.101414,0,https://api.elsevier.com/content/abstract/scopus_id/105023079317
4th generation AND district thermal,Dynamic temperature supply to boost the integration of renewable energy into existing district heating networks,Capone M.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124315,2,https://api.elsevier.com/content/abstract/scopus_id/105014373411
4th generation AND district thermal,A review on optimization of district energy systems,Abdelghani D.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116041,1,https://api.elsevier.com/content/abstract/scopus_id/105012629133
4th generation AND district thermal,Thermal energy storage–coupled heat pump systems: Review of configurations and modelling approaches,Zhou J.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116226,1,https://api.elsevier.com/content/abstract/scopus_id/105014016864
4th generation AND district thermal,"Integrating solutions for enabling the sustainable development of energy, water and environment systems",Kılkış Ş.,Energy Conversion and Management,2026-01-01,10.1016/j.enconman.2025.120492,1,https://api.elsevier.com/content/abstract/scopus_id/105016830534
4th generation AND district thermal,Low-carbon configuration of an integrated electricity-gas-thermal energy storage system for effective grid management: Comprehensive sustainability quantification,Lu Y.,Renewable and Sustainable Energy Reviews,2026-01-01,10.1016/j.rser.2025.116413,0,https://api.elsevier.com/content/abstract/scopus_id/105021880336
4th generation AND district thermal,Optimizing energy futures in the Maldives: A study of Ocean Thermal Energy Conversion technology energy Mixes,Saadha A.,Renewable Energy,2026-01-01,10.1016/j.renene.2025.124204,1,https://api.elsevier.com/content/abstract/scopus_id/105012974040
4th generation AND district thermal,Real-world deployment of model-free reinforcement learning for energy control in district heating systems: Enhancing flexibility across neighboring buildings,Moshari A.,Applied Energy,2026-01-01,10.1016/j.apenergy.2025.126997,0,https://api.elsevier.com/content/abstract/scopus_id/105020937658
