title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
A review on machine learning algorithms to predict daylighting inside buildings,110,2020,"… Daylight simulation is an active area of research that offers … Alternatively, predictive models that build on machine learning … that exploit machine learning to rapidly predict daylighting …",https://www.sciencedirect.com/science/article/pii/S0038092X20303509,,0,"machine learning, daylight control, HVAC"
Model predictive control with adaptive machine-learning-based model for building energy efficiency and comfort optimization,242,2020,… [13] reported a test run of a MPC system deployed in a University building to control HVAC systems and 17–24% energy saving was observed as compared to the existing control. West …,https://www.sciencedirect.com/science/article/pii/S0306261920306590,,0,"machine learning, daylight control, HVAC"
Approximate model predictive building control via machine learning,271,2018,… (HVAC) systems in commercial and residential buildings nowadays accounts for 40 % of the global energy use [1]. Numerous studies reported that advanced HVAC control could …,https://www.sciencedirect.com/science/article/pii/S0306261918302903,,0,"machine learning, daylight control, HVAC"
Machine-learning based hybrid demand-side controller for high-rise office buildings with high energy flexibilities,121,2020,"… of the building appliances, the HVAC devices and indoor air set-point temperature. The … 4(a), the total horizontal radiation is during the daytime, with the fluctuation range between 0 …",https://www.sciencedirect.com/science/article/pii/S0306261919321038,,0,"machine learning, daylight control, HVAC"
LightLearn: An adaptive and occupant centered controller for lighting based on reinforcement learning,198,2019,"… To actively utilize daylight in indoor spaces instead of sole artificial … control algorithm based directly on the occupants' preferences, which saved 39% of air-flow rate, while the HVAC …",https://www.sciencedirect.com/science/article/pii/S0360132318306462,,0,"machine learning, daylight control, HVAC"
Thermal adaptation in occupant-driven HVAC control,64,2019,… machine learning to combine thermal preference votes with indoor air temperature measurements (T a ) to determine a demand-driven set point for HVAC control… mean daytime outdoor …,https://www.sciencedirect.com/science/article/pii/S2352710219303237,,0,"machine learning, daylight control, HVAC"
A real-time model predictive control for building heating and cooling systems based on the occupancy behavior pattern detection and local weather forecasting,346,2014,"… problem for HVAC control, which is an infinite time horizon control problem. … , control and disturbance variables in this optimal control problem. Particularly during modeling, the control …",https://link.springer.com/article/10.1007/s12273-013-0142-7,,0,"machine learning, daylight control, HVAC"
Comparative study of machine learning-based multi-objective prediction framework for multiple building energy loads,96,2020,"… daylighting control (nBnL), with BIPV but without daylighting control (BnL), without BIPV but with daylighting control … of lighting control and BIPV on the building heating and cooling loads…",https://www.sciencedirect.com/science/article/pii/S2210670720305047,,0,"machine learning, daylight control, HVAC"
Energy and visual comfort analysis of lighting and daylight control strategies,222,2014,… control strategies by sharing HVAC and occupancy information between … control components; (2) comparing energy and daylighting performance for independent and integrated control …,https://www.sciencedirect.com/science/article/pii/S0360132314001322,,0,"machine learning, daylight control, HVAC"
A review of reinforcement learning methodologies for controlling occupant comfort in buildings,153,2019,"… , the reinforcement learning (RL) method is becoming more distinctive and applicable in control … In a similar study, Barret and Linder produced an RL control for an HVAC system and, …",https://www.sciencedirect.com/science/article/pii/S2210670719307589,,0,"machine learning, daylight control, HVAC"
