title,num_citations,year,excerpt,url,url_pdf,indicator,key_words
Management of a district heating network using model predictive control with and without thermal storage,30,2021.0,"… model predictive control strategy was formulated as a MILP optimization problem to schedule the heat supply of the cogeneration plants, heat pump … additional thermal energy storage is …",https://link.springer.com/article/10.1007/s11081-021-09644-w,,0,"heat pump, thermal energy storage, model predictive control"
Model-based predictive control to minimize primary energy use in a solar district heating system with seasonal thermal energy storage,71,2021.0,… This paper investigates the development and assessment of a model-based predictive control strategy for the district heating … Thermal energy is collected by solar thermal collectors and …,https://www.sciencedirect.com/science/article/pii/S0306261921003366,,0,"heat pump, thermal energy storage, model predictive control"
Thermal energy storage sizing for industrial waste-heat utilization in district heating: A model predictive control approach,41,2021.0,… problem of sizing TES in heating plants utilizing a varying waste-heat source. To this … model predictive control approach that accounts for the dynamics and optimal control of the heating …,https://www.sciencedirect.com/science/article/pii/S0360544221014481,,0,"heat pump, thermal energy storage, model predictive control"
The operation of district heating with heat pumps and thermal energy storage in a zero-emission scenario,38,2021.0,… This paper presents the implementation of a model predictive control (MPC) algorithm to simulate the operation of DH with large scale heat pumps in a decarbonised energy system. …,https://www.sciencedirect.com/science/article/pii/S2352484721007617,,0,"heat pump, thermal energy storage, model predictive control"
Experimental operation of a solar‐driven climate system with thermal energy storages using mixed‐integer nonlinear model predictive control,16,2021.0,"… heat pumps. Examples of experimental studies are the exergy-based control of a heat exchanger within an energy supply system, 18 experimental operation of a microgrid, 19 and …",https://onlinelibrary.wiley.com/doi/abs/10.1002/oca.2728,,0,"heat pump, thermal energy storage, model predictive control"
Model predictive control for the operation of a transcritical CO2 air source heat pump water heater,53,2021.0,… a model predictive control (MPC) approach to optimize the operation of a transcritical CO 2 air source heat pump (ASHP) water heater. Past findings have revealed that the heat …,https://www.sciencedirect.com/science/article/pii/S0306261921007479,,0,"heat pump, thermal energy storage, model predictive control"
Model predictive control strategy applied to different types of building for space heating,85,2021.0,"… was able to satisfy the cooling demand of the room with a higher heat pump average coefficient of performance than the reference standard air conditioner. To the authors’ knowledge, …",https://www.taylorfrancis.com/chapters/edit/10.1201/9780367567699-25/model-predictive-control-strategy-applied-different-types-building-space-heating-gohar-gholamibozanjani-joan-tarragona-alvaro-de-gracia-c%C3%A8sar-fern%C3%A1ndez-luisa-cabeza-mohammed-farid,,0,"heat pump, thermal energy storage, model predictive control"
Temperature control of a low-temperature district heating network with Model Predictive Control and Mixed-Integer Quadratically Constrained Programming,55,2021.0,… the operation of heat pumps in combination with thermal energy storages and the operating … optimization model uses the flexibility of the thermal energy storages and thermal inertia of …,https://www.sciencedirect.com/science/article/pii/S0360544221003893,,0,"heat pump, thermal energy storage, model predictive control"
Review on compression heat pump systems with thermal energy storage for heating and cooling of buildings,136,2021.0,… Different operational strategies were considered and analysed through model predictive control (MPC) so that they maximize energy performance and minimize cost. Results of the …,https://www.sciencedirect.com/science/article/pii/S2352152X21003145,,0,"heat pump, thermal energy storage, model predictive control"
Model predictive control of smart districts with fifth generation heating and cooling networks,35,2021.0,… temperature water is distributed to water-source heat pumps (… grate renewable electrical and thermal energy sources. Thus… state-space model to represent various energy storage units. …,https://ieeexplore.ieee.org/abstract/document/9437972/,,0,"heat pump, thermal energy storage, model predictive control"
Optimal management of energy sharing in a community of buildings using a model predictive control,54,2021.0,"… Ground source heat pump … scenarios and optimise the outcome, there is a great potential for linking and optimising the use of energy storage within buildings using this control strategy. …",https://www.sciencedirect.com/science/article/pii/S019689042100354X,,0,"heat pump, thermal energy storage, model predictive control"
Heat pump controls to exploit the energy flexibility of building thermal loads,15,2021.0,"… of model predictive control to exploit energy flexibility in building thermal loads,"" in … -change materials can also be valued as Thermal Energy Storage (TES) means for that purpose [25]. …","https://books.google.com/books?hl=en&lr=&id=8h8SEAAAQBAJ&oi=fnd&pg=PR5&dq=heat+pump,+thermal+energy+storage,+model+predictive+control&ots=bOSpsIQ4pT&sig=-gf5vtjq8TQqhnMjNgB0VxqdLKw",,0,"heat pump, thermal energy storage, model predictive control"
Reliability and Performance of Model Predictive Control for Demand Response with Residential Heat Pumps,1,2021.0,"… elements of model predictive control that we will study in the rest of the thesis. The models and … Here, thermal Energy Storages (TES) refers to water storage tanks present in buildings for …",https://infoscience.epfl.ch/record/282334,,0,"heat pump, thermal energy storage, model predictive control"
Demonstration of optimal scheduling for a building heat pump system using economic-MPC,10,2021.0,… advanced controllers such as model predictive control (MPC) … the rapidly expanding renewable electricity grid. These can … of 50% in the thermal energy wastage of a residential PV-…,https://www.mdpi.com/1996-1073/14/23/7953,,0,"heat pump, thermal energy storage, model predictive control"
Approximate Optimal Control for Heat Pumps in Building Energy Systems,1,,"… control approach for a HP system with a hot and cold thermal energy storage (TES, CTES) and an ice storage. The … Application of an approximate model predictive control scheme on an …",https://www.researchgate.net/profile/Laura-Maier-3/publication/352120086_Approximate_Optimal_Control_for_Heat_Pumps_in_Building_Energy_Systems/links/61d2ac89e669ee0f5c818386/Approximate-Optimal-Control-for-Heat-Pumps-in-Building-Energy-Systems.pdf,http://scholar.google.com/https://www.researchgate.net/profile/Laura-Maier-3/publication/352120086_Approximate_Optimal_Control_for_Heat_Pumps_in_Building_Energy_Systems/links/61d2ac89e669ee0f5c818386/Approximate-Optimal-Control-for-Heat-Pumps-in-Building-Energy-Systems.pdf,0,"heat pump, thermal energy storage, model predictive control"
